Time [s],AccX [m/s^2],AccY [m/s^2],AccZ [m/s^2],GyroX [rad/s],GyroY [rad/s],GyroZ [rad/s]
0,14.3331,-42.6171588,-9.73280396,5.2438839e-05,-4.46745945e-05,-0.299984499
0.02,8.55045966,-48.083542,-9.73299787,5.49946597e-05,-4.34477183e-05,-0.339410643
0.04,2.88091613,-53.6231259,-9.73321457,5.76118943e-05,-4.22013405e-05,-0.378983706
0.06,-2.66130779,-59.2484873,-9.73345355,6.02834034e-05,-4.09349601e-05,-0.418703687
0.08,-8.06152009,-64.9717537,-9.73371428,6.3001564e-05,-3.96481172e-05,-0.458570585
0.1,-13.3045132,-70.804537,-9.73399616,6.57582656e-05,-3.83404002e-05,-0.498584402
0.12,-18.6036866,-76.0772505,-9.73428306,6.85607982e-05,-3.70183879e-05,-0.539021971
0.14,-23.7277715,-81.4863706,-9.73458929,7.14157314e-05,-3.56879257e-05,-0.580160126
0.16,-28.6601613,-87.0428591,-9.73491419,7.43128128e-05,-3.43475814e-05,-0.621998869
0.18,-33.3832908,-92.7571366,-9.73525702,7.72408433e-05,-3.29959813e-05,-0.664538198
0.2,-37.8785828,-98.6389767,-9.73561703,8.01876483e-05,-3.16318221e-05,-0.707778114
0.22,-42.145514,-103.807204,-9.73597456,8.31515214e-05,-3.02652744e-05,-0.751925657
0.24,-46.170858,-109.161332,-9.73634649,8.61290048e-05,-2.89059438e-05,-0.797187869
0.26,-49.9340061,-114.709735,-9.736732,8.91034247e-05,-2.75518075e-05,-0.843564749
0.28,-53.4129916,-120.459885,-9.73713021,9.20565615e-05,-2.62009452e-05,-0.891056297
0.3,-56.5844369,-126.418178,-9.73754021,9.49685909e-05,-2.48515609e-05,-0.939662513
0.32,-59.2742436,-131.502285,-9.73794133,9.78205226e-05,-2.35156862e-05,-0.989429297
0.34,-61.6492904,-136.797868,-9.73835106,0.000100591059,-2.22052243e-05,-1.04040255
0.36,-63.6849634,-142.308095,-9.73876864,0.000103254172,-2.09184238e-05,-1.09258227
0.38,-65.3551569,-148.034525,-9.73919334,0.000105781771,-1.96537325e-05,-1.14596845
0.4,-66.6322591,-153.976881,-9.73962449,0.000108143633,-1.84098324e-05,-1.2005611
0.42,-67.2322524,-158.859064,-9.74004354,0.000110293137,-1.71896104e-05,-1.2560346
0.44,-67.4472071,-163.936954,-9.74046666,0.000112183773,-1.59968432e-05,-1.31206332
0.46,-67.2523758,-169.204238,-9.74089379,0.000113782663,-1.48319939e-05,-1.36864726
0.48,-66.6220386,-174.65222,-9.74132505,0.00011505534,-1.36958929e-05,-1.42578642
0.5,-65.5295943,-180.269622,-9.74176078,0.00011596573,-1.25897859e-05,-1.4834808
0.52,-63.66765,-184.59816,-9.74218795,0.000116442595,-1.148292e-05,-1.54076963
0.54,-61.3865599,-189.046372,-9.74261975,0.000116425175,-1.03470755e-05,-1.59669216
0.56,-58.6717179,-193.595619,-9.74305767,0.000115892851,-9.18801525e-06,-1.65124837
0.58,-55.5089601,-198.225093,-9.74350345,0.000114826302,-8.0120273e-06,-1.70443827
0.6,-51.8847632,-202.911816,-9.74395909,0.00011320755,-6.82595086e-06,-1.75626186
0.62,-47.5693075,-206.045553,-9.74441898,0.000110984909,-5.55170385e-06,-1.80518461
0.64,-42.8973705,-209.167724,-9.74489166,0.000108134612,-4.11487311e-06,-1.84967199
0.66,-37.877492,-212.253777,-9.74537994,0.000104685853,-2.52851689e-06,-1.88972399
0.68,-32.5199733,-215.27937,-9.74588659,0.000100673236,-8.06030113e-07,-1.92534063
0.7,-26.8369643,-218.220657,-9.74641431,9.61364244e-05,1.03893086e-06,-1.95652188
0.72,-20.7629526,-219.379705,-9.74696228,9.11099619e-05,3.07446778e-06,-1.98206403
0.74,-14.5378339,-220.404975,-9.74753266,8.56572728e-05,5.36666434e-06,-2.00076332
0.76,-8.19236646,-221.284438,-9.74812706,7.9868982e-05,7.89893777e-06,-2.01261975
0.78,-1.75823134,-222.009259,-9.74874662,7.38401931e-05,1.06551665e-05,-2.01763332
0.8,4.73215129,-222.57395,-9.74939194,6.76693056e-05,1.36198644e-05,-2.01580404
0.82,11.1517615,-221.281955,-9.75006037,6.14551959e-05,1.67619795e-05,-2.00736926
0.84,17.4280897,-219.839363,-9.75074849,5.52926353e-05,2.00524152e-05,-1.99256632
0.86,23.5324541,-218.258645,-9.75145481,4.92752055e-05,2.34800145e-05,-1.97139525
0.88,29.437496,-216.55504,-9.75217744,4.34950602e-05,2.70348043e-05,-1.94385602
0.9,35.1172976,-214.746305,-9.75291409,3.80418052e-05,3.07081057e-05,-1.90994865
0.92,40.2959081,-211.211633,-9.75365595,3.29696696e-05,3.43990067e-05,-1.87111095
0.94,45.0931129,-207.632054,-9.75439985,2.83013609e-05,3.80105073e-05,-1.82878072
0.96,49.5048798,-204.033089,-9.75514304,2.40743921e-05,4.15415581e-05,-1.78295796
0.98,53.5288454,-200.439776,-9.75588284,2.03230511e-05,4.49920789e-05,-1.73364268
1,57.164164,-196.876451,-9.75661667,1.70780724e-05,4.83629426e-05,-1.68083487
1.02,60.0635337,-191.838296,-9.75733012,1.43178084e-05,5.15840556e-05,-1.62595315
1.04,62.489841,-186.896132,-9.75802643,1.19954673e-05,5.45879635e-05,-1.57041613
1.06,64.461985,-182.070001,-9.75870411,1.01006046e-05,5.73804097e-05,-1.51422381
1.08,65.9990021,-177.377439,-9.7593619,8.62198188e-06,5.99673791e-05,-1.45737618
1.1,67.1198872,-172.833562,-9.75999882,7.5475785e-06,6.23550504e-05,-1.39987326
1.12,67.4839227,-167.072465,-9.76059688,6.83207077e-06,6.45307016e-05,-1.34247041
1.14,67.4017886,-161.501172,-9.76116704,6.42134686e-06,6.64824373e-05,-1.28592301
1.16,66.9013259,-156.127369,-9.76170935,6.29035876e-06,6.82176154e-05,-1.23023107
1.18,66.009212,-150.956325,-9.76222402,6.41504358e-06,6.97433379e-05,-1.17539458
1.2,64.7509071,-145.991114,-9.76271139,6.77233311e-06,7.10664314e-05,-1.12141354
1.22,62.8644023,-140.023852,-9.76315165,7.33109887e-06,7.22021695e-05,-1.0684768
1.24,60.6095923,-134.274858,-9.76356104,8.06005455e-06,7.31657698e-05,-1.01677321
1.26,58.0131233,-128.742014,-9.76394034,8.93759008e-06,7.39634578e-05,-0.966302761
1.28,55.1001094,-123.421618,-9.76429038,9.94334415e-06,7.46010605e-05,-0.917065463
1.3,51.8941653,-118.308594,-9.76461199,1.10581891e-05,7.50840107e-05,-0.869061311
1.32,48.2760147,-112.370013,-9.76488538,1.22704297e-05,7.54310442e-05,-0.822181163
1.34,44.3745912,-106.630273,-9.76512879,1.35703519e-05,7.56606518e-05,-0.776315877
1.36,40.2118018,-101.081735,-9.76534309,1.49434032e-05,7.57773302e-05,-0.731465452
1.38,35.8082415,-95.7158466,-9.76552913,1.6375942e-05,7.57852149e-05,-0.687629889
1.4,31.1832484,-90.5232917,-9.76568771,1.78552271e-05,7.5688092e-05,-0.644809187
1.42,26.4106556,-84.6620091,-9.76580115,1.93828168e-05,7.54996195e-05,-0.60277039
1.44,21.4316591,-78.9526659,-9.76588681,2.09620342e-05,7.523326e-05,-0.561280543
1.46,16.2636564,-73.3848597,-9.7659454,2.25838388e-05,7.48920326e-05,-0.520339646
1.48,10.9231721,-67.947604,-9.76597758,2.42397082e-05,7.44786707e-05,-0.479947698
1.5,5.42590876,-62.6294198,-9.76598398,2.59216383e-05,7.39956297e-05,-0.4401047
1.52,0.0710625303,-56.7965668,-9.76595097,2.76388526e-05,7.34512583e-05,-0.400523689
