Time [s],Latitude [deg],Longitude [deg],Altitude [m],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
3.2,0.00273189989517668,0.0036446632718445,0.0201059030381455,140.45633638317,19.2466187404536,-0.00792135301057328,-0.00455487072156065,0.00320140852872812,7.80260023909588
3.4,0.00298379763277174,0.00366509772010582,0.0216403044903666,136.265756978299,1.61520143465048,-0.00719964573457332,-0.00472609662169783,0.00302702856077741,0.679113326017907
3.6,0.00321827978018986,0.00364479808060265,0.0228994464414953,121.26049958295,-25.4358018428237,-0.0051930849859616,-0.00486229143841216,0.00240147721546519,-11.8466985721495
3.8,0.00341672373178562,0.00357077771118848,0.0236511152399895,96.8087703061563,-57.3480070491793,-0.00219897239259126,-0.00494211032776715,0.0011197291973978,-30.6418395686566
4,0.003564700284107,0.00343891243037867,0.0237500435363674,66.1258508154945,-88.9694918375004,0.001225909717391,-0.00495310068449607,-0.000633631863683789,-53.3787234676449
4.2,0.0036549198774741,0.00325416564572269,0.0231773435999057,33.7820604214036,-115.487979644325,0.0044042736631198,-0.00489367272816262,-0.00209716271592738,-73.6949673128686
4.4,0.00368901678396947,0.00302920541872526,0.0220458248341972,4.92827399067109,-133.260242068011,0.00672810748660879,-0.00477335629921366,-0.00289080080827877,-87.8820339086948
4.6,0.00367777572846204,0.00278173782511462,0.0205689580554322,-15.6256872861127,-140.390807371716,0.00781904352472829,-0.00461130125507957,-0.0031714954913562,-96.350958843
4.8,0.0036396840834152,0.00253110211148229,0.0190064307450043,-24.3117599566946,-136.964412703028,0.00759494058178589,-0.00443325811384094,-0.00312826133144797,-100.065403233307
5,0.00359800314857652,0.00229478555771644,0.0176074592392419,-19.5137338193386,-124.904309846338,0.00622801689579333,-0.00426751299296431,-0.00282266010032168,-98.8795107597736
5.2,0.00357683609123441,0.00208550183308652,0.0165703671712287,-1.94745181938775,-107.499418242246,0.00403443241828283,-0.00414041955371961,-0.00214994678230018,-91.0378527422291
5.4,0.00359687351718189,0.00190934244362565,0.0160254350768598,25.3707075972326,-88.7039614281706,0.00136329434985427,-0.00407223368183515,-0.000846632209323564,-74.0386497441357
5.6,0.00367158004850134,0.00176528561401966,0.0160351606438897,57.5746309443965,-72.3523847493526,-0.00146026885461481,-0.00407390877642702,0.00090485683620183,-51.4888727420302
5.8,0.00380452831156384,0.00164607620958461,0.0165991957016679,88.7486805551803,-61.4431088105405,-0.00412782285859237,-0.00414535918106108,0.00219104451001744,-34.6959018062726
6,0.00398839777357315,0.00154022721529925,0.0176542076562504,112.941264235333,-57.6256655867614,-0.00631282219998752,-0.00427546681538763,0.00285266753665348,-27.0318953800919
6.2,0.00420586710887058,0.00143468821141968,0.0190687321915142,125.213349304843,-60.9813689752996,-0.00766446430557721,-0.00444383261480093,0.00315308676296102,-25.9669949070371
6.4,0.00443229159402727,0.00131761718587358,0.0206430403309927,122.533250519496,-70.1270705155675,-0.00786624193928276,-0.00462399432427621,0.00319236304991085,-29.7829608989086
6.6,0.00463973263861475,0.00118069738252627,0.0221266756881036,104.35328716591,-82.6068888021784,-0.00674809940686316,-0.00478760536016034,0.00290503809364158,-38.3654162597772
6.8,0.00480165474526525,0.00102055646967468,0.0232594035556315,72.7587131757279,-95.4807951279081,-0.00439681037222783,-0.00490891263054066,0.00209856371845902,-52.6917082220065
