Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s]
0,6378136.86078364,503.896599004057,0.272924491254599,1.0289131110217,10.2082309390555,10.095323476032
1,6378140.65947456,510.950350568459,9.40655276688395,0.963290758143927,9.4028409433921,10.357506537895
2,6378137.09863716,520.548023036824,21.4938617617379,0.905719897971711,8.73792830713208,10.6114947015476
3,6378139.09656838,530.933575735658,33.7308676152704,0.905139563298359,7.73500177874758,11.1870048049935
4,6378141.17697187,538.062617212768,44.0009408170278,0.896337534803338,6.31957964985798,11.1744462954529
5,6378144.13411399,539.64326727973,55.2124177062248,1.06264124656282,4.10470683049131,11.2536196992408
6,6378140.6021331,542.372432371838,66.2953395297876,1.26113240044863,2.16453022143122,11.31960710842
7,6378144.72124137,540.054265544796,75.9686831844939,0.87509590396497,0.0151469939086422,11.0702092465049
8,6378145.46301736,541.28311362084,87.0627877313248,1.17344189844438,-2.36695813262232,10.998673617832
9,6378145.48998576,537.137799661751,99.8288318928213,1.11865387125128,-3.91087098528834,10.2690513049063
10,6378145.38927638,537.396957175631,108.125993299703,1.11999092235759,-5.90956388293697,9.8874248587897
11,6378148.58203358,529.845229519766,116.999628871514,1.1913516148389,-8.49700524453645,9.05867364825836
12,6378148.56101602,519.762628655469,126.525297609663,1.03736401464075,-9.81178114644889,8.77182075731842
13,6378149.30470756,505.204193181063,135.708166818719,0.894413182445764,-11.0149064611541,7.9569020306231
14,6378148.93185673,496.457969007712,143.80566827203,0.882116649030156,-11.8483930585309,7.36275452389187
15,6378151.32521619,486.662219917703,150.977144537181,1.03592294810408,-12.1986080927115,6.73036427381972
16,6378152.64348711,474.177472525457,155.438930113844,1.03423883610628,-12.5100744175762,6.34835587566393
17,6378155.28560752,457.270194722065,162.569579121061,0.998574040902816,-12.3156717110073,5.959299440294
18,6378154.51111573,442.760056842974,168.420182255946,0.984899386407699,-11.7693912044607,5.80453045837704
19,6378158.82277659,437.533490739602,172.984797013261,0.927579030577323,-10.759869292051,5.74491192617226
20,6378158.15549434,423.618488328957,178.80910419945,0.9975620189501,-9.83680453971578,5.90361945734405
21,6378159.7408147,415.841366957719,186.844021731932,1.06736668787935,-8.46955937751065,6.18455615723656
22,6378160.73396459,409.053732519228,192.489415990284,1.04124536964596,-6.80477017571957,7.03250770914152
23,6378157.91726135,403.417244985513,199.600884224207,1.20521436796719,-5.15839420907232,7.71148497696288
24,6378159.52824337,399.67850964287,207.877754715869,1.00286187453781,-3.63091532050636,8.31433189879803
25,6378159.72274271,396.605899437816,216.453699181419,1.01066945366292,-1.97827782944673,9.06649031910194
26,6378162.95751168,397.817140180181,227.547769890363,0.929999679946112,-0.210427762987426,10.3239601377729
27,6378164.87923214,398.583363457592,237.190700189502,0.981558196907205,1.09098774480531,11.0931824418694
28,6378165.00808882,399.037939149326,250.34261560646,1.22441546960471,1.81560613546158,12.1279051006274
29,6378167.06121498,399.837806283214,260.853543375339,1.0554590168467,1.7481834300247,12.5697681906678
30,6378167.93069558,400.597928363826,273.701715631895,0.904656867293832,2.19942699183831,13.578434136626
31,6378167.79164885,405.543540745178,289.600067796789,0.892579609676877,2.28646507361154,13.9217708522759
32,6378168.23408122,403.241045426615,300.159192839662,1.03088489826919,2.06415763186365,13.9714005843678
33,6378170.92269089,399.732637613836,316.342548822349,0.973376579882711,1.39677781241925,13.9161999553275
34,6378168.91093815,409.4973301404,330.126369088894,0.967285166993292,-0.203094666000344,13.6562229548448
35,6378168.7507166,409.536729071365,342.729904503417,1.09707931680885,-1.33352391335501,13.0108557944314
36,6378176.23562466,403.056666945361,355.105063962493,1.18414426346538,-2.68255232018962,11.926934446621
37,6378171.95819404,402.497732934634,368.146577416578,0.869172337481613,-4.06141375149122,11.1472370248069
38,6378172.31862294,396.8402281705,377.511968954271,1.03643663032462,-5.40645124600471,9.78899268913063
39,6378175.35655257,392.577167802422,385.837483029887,1.01444894443226,-7.46599388833255,8.25631081685832
40,6378175.4289424,386.084392282677,394.502276483289,1.07866930607262,-9.18893902732588,6.75582869302336
41,6378177.64353925,375.240122082657,400.983669677195,0.83130107937067,-10.2246806226125,4.84336870174998
42,6378180.98260982,364.132127965145,405.387397479437,0.976330096398295,-11.7020743200311,3.39935168619267
43,6378178.68193246,351.690887711505,406.928789992435,1.05846817084028,-12.3336998946769,1.88920182494298
44,6378178.82639032,337.030618862354,407.542592179897,1.00860601356654,-13.1499037312314,0.673967891286931
45,6378182.15935807,324.524736332027,409.079454620393,0.934753157018746,-13.9752123139613,-0.666119026501194
46,6378182.80390318,307.089356802861,407.980499798216,1.02256519863579,-14.204748835887,-1.63690402625148
47,6378186.5000262,298.969718522792,406.481834631405,1.00322472108442,-14.0062802432767,-2.20175607929845
48,6378184.41981987,281.420503927328,402.757440202602,1.05407044546989,-13.8380526633066,-2.21516686523185
49,6378185.9669242,268.154196015006,400.477625002602,0.926298083836336,-13.0680713785167,-2.3670264130985
50,6378188.2496445,256.580443205045,397.170884812541,1.07536611107355,-12.5129846403461,-1.97072946845079
51,6378188.47261344,243.349237321789,395.103211512097,1.04955980073615,-12.1250463424366,-1.12425594025417
52,6378190.28484169,232.923973757605,394.781960686703,0.888038513447626,-10.6477562092387,-0.252235985236371
53,6378188.45570931,220.123366095145,395.371296320603,0.974920614146369,-9.61920608429202,0.99584244856618
54,6378191.01819764,213.471600879608,396.516089534768,1.16297614741318,-8.93315406280373,2.46474641842086
55,6378189.39922232,203.944845135422,401.482738936404,1.01501212126666,-8.43903437476502,4.17139937579757
56,6378194.85434232,194.746470440722,405.066257482511,1.07875834761541,-6.79399335583815,5.58848614906935
57,6378194.87879659,187.749607546584,413.714008803786,1.18552307308821,-6.69807960980717,7.53167840282807
58,6378195.10068426,179.958503053412,420.242544956393,0.922912138678013,-5.85964250706078,8.85047371561552
59,6378194.95162896,178.236323114839,429.906962201029,0.90618956125866,-6.03167716401133,10.2841759103563
60,6378201.1688017,168.882668674417,440.004450116702,1.03866585708804,-5.72072596034025,11.3130123218452
61,6378199.41416081,169.837838524254,454.128179806517,1.03130950031973,-6.00986321169808,12.0171443716836
62,6378199.33055038,160.752926570723,466.223394297582,1.14053351013206,-5.93494173443112,12.5161405421041
63,6378197.89263282,151.883717828392,477.278789800601,1.1454087211727,-6.35446252728039,12.6305945045705
64,6378201.77200361,147.799340380276,490.705118217431,1.0334177854185,-6.91536542114025,12.2885723515425
65,6378202.90813001,139.548615384693,500.488349973499,0.902735493609779,-7.72777333352841,11.4370534483538
66,6378203.3726302,127.900985168725,514.410574435495,0.897052877461126,-8.23596841253636,10.3534312105086
67,6378204.23003112,126.74314212226,521.900937062512,1.02061028015838,-8.97852768770401,9.07738833031645
68,6378205.70276274,112.676688974345,531.726034836774,1.21623868737484,-9.19269467919785,7.26969627551297
69,6378205.06909096,103.49204741337,539.028129624023,1.05430523254353,-10.0936566045199,5.16559552880481
70,6378207.70080864,93.7928861802575,543.71522054604,0.963163363876057,-10.654963014544,3.12906801406826
71,6378205.11826138,81.2681471544866,542.196522912117,0.905386532141012,-10.9997010785226,1.18869766811888
72,6378207.94439055,70.5899222930852,543.054145254849,0.997829860484023,-11.3258232969037,-1.07416819466023
73,6378206.5891784,58.2866797562592,540.408391166787,1.00555613498476,-11.2892160922843,-3.26626412128668
74,6378209.10504586,52.2712426326337,537.053705171179,0.925335102319804,-11.559675793471,-5.1396281813281
75,6378215.20439371,39.6359782594787,532.995661622913,0.897969984371989,-10.8890002984815,-6.92821730102829
76,6378212.56634655,25.1830734954584,523.458425137491,0.961219223751119,-10.9399138118788,-8.23266948470177
77,6378214.48875505,15.177690097047,514.417721627592,1.16539604452904,-10.0975143537073,-9.15350020170428
78,6378215.05857046,3.98666657851661,505.733673238366,1.003511959348,-10.4567912744821,-9.75705915602753
79,6378214.34352973,-1.58808521332719,495.953804235465,1.02385379796199,-9.81254543801481,-10.1664564915401
80,6378215.28021351,-14.4278528629963,485.402922343942,0.91408092486409,-9.55135206796776,-9.82271924034475
81,6378218.88057182,-23.6762975542968,476.108849762608,1.08055683435281,-9.12213741926839,-9.33393354708821
82,6378219.21095355,-34.4967829029815,464.536986608064,1.00410205398218,-8.41530162539021,-8.32902162498897
83,6378219.7871151,-43.3591375379508,458.975195846785,1.15414315703616,-8.2757451595913,-7.03647339900401
84,6378220.90844511,-49.3532696339916,451.414359959501,0.975791897539042,-8.69035051845004,-5.68690858837547
85,6378224.12964433,-59.4830110888745,448.428968608374,0.853964668671185,-8.52616356323,-3.91270350251662
86,6378220.25515381,-65.2548986789183,445.35420021388,1.16431798950393,-8.72122917553747,-2.11934405539906
87,6378223.24046342,-75.6993349131993,443.369424322208,1.04995412698883,-9.28381369099106,-0.173343488955839
88,6378224.72828585,-83.8992311849737,446.456889413517,1.0637666863878,-9.269638378546,1.51880936393133
89,6378225.33115463,-97.8296163337976,447.473904379284,1.01419012222111,-9.91775632399978,2.84021325267932
90,6378227.51780566,-107.766083032794,449.420213713627,1.01161368276136,-10.3535822496677,4.2879277412006
91,6378228.85102048,-117.851214471519,454.326906102401,1.12247291731047,-11.1005513125735,5.55603847918805
92,6378233.0050975,-126.039182509745,461.067188607193,1.01636274071907,-11.4138078733458,6.1244236694262
93,6378229.5828784,-137.299589894771,467.884148831079,1.00993185058162,-12.0920305980474,6.55176142868578
94,6378230.45227979,-150.160136072905,475.585852422361,1.10186126670644,-12.7338084504476,6.36582820431576
95,6378232.41210036,-166.529330569186,478.41932283951,1.04322499480805,-12.9024003566376,5.76874423682435
96,6378230.42483814,-177.955914709254,485.820630274826,1.18710000516823,-13.0238048411879,5.21268526667847
97,6378236.98457954,-188.934026814275,490.981500345723,1.13540486352687,-13.0195143538104,4.19797379882636
98,6378241.05567304,-201.581870175976,491.128805413937,1.12381741212344,-12.761500790476,2.66457472307093
99,6378235.05803136,-213.307347513836,496.705543861741,0.876925911606888,-12.0606821649825,0.973054007395587
100,6378237.78927168,-227.058979966404,494.967975869316,1.10200052008695,-11.2250180186933,-0.742820394888482
101,6378238.74257325,-243.895385090905,495.404580443151,0.990927731025729,-10.7934848086781,-2.73590705439998
