Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Roll [deg],Pitch [deg],Yaw [deg]
17,6378154,459.331704455671,162.482563118538,0.999999992888084,-12.3641863206259,5.96248691405561,-0.00438007673786978,4.1635770089662,-64.2550713989716
18,6378155,447.240737974357,168.342689144033,0.999999992888092,-11.7595873099127,5.78576592898342,-0.00429640369950035,4.36038798868701,-63.8028612660684
19,6378156,435.921778522408,174.112703900366,0.999999992888094,-10.8276914912277,5.78457442595553,-0.00422066445438007,4.65430526048012,-61.8873947711733
20,6378157,425.677434071833,179.973532495432,0.999999992888094,-9.61992707691816,5.96814053411253,-0.00415589492286572,5.0455901651539,-58.1851031713171
21,6378158,416.753160234404,186.11051993803,0.999999992888093,-8.19872773433766,6.33597346397852,-0.00410469525912016,5.51059677409801,-52.3035144672531
22,6378159,409.327653656226,192.70348861759,0.999999992888094,-6.63466902421991,6.87750109594965,-0.00406912595267045,5.97269290545819,-43.9708312042912
23,6378160,403.506283484042,199.916691484173,0.999999992888094,-5.0032793493391,7.57222665396202,-0.00405062566027888,6.28712697961741,-33.4548112357563
24,6378161,399.317813875152,207.889184182151,0.999999992888096,-3.38167214589635,8.39040836544649,-0.00404995347340495,6.30844076153354,-21.9518632953639
25,6378162,396.714519864299,216.726129959051,0.999999992888092,-1.84515272939771,9.29423936024345,-0.00406715909472932,6.02557824380954,-11.2291399910048
26,6378163,395.575645108352,226.491515366222,0.999999992888094,-0.463952779759671,10.2394791855433,-0.00410157978090292,5.57409139065809,-2.59466379561983
27,6378164,395.71400020059,237.202694020361,0.999999992888094,0.699762009423572,11.1774645155029,-0.00415186735840487,5.10482409131259,3.5820060434675
28,6378165,396.885361239229,248.827092698157,0.999999992888096,1.59447968304307,12.0574061256092,-0.00421604094327309,4.70302866465276,7.53285778626405
29,6378166,398.800206450153,261.281312625716,0.999999992888092,2.18141375600988,12.8288630438198,-0.00429156650424625,4.39725666605489,9.6500052404805
30,6378167,401.137229353774,274.43274379712,0.999999992888096,2.4359724550964,13.4442738381636,-0.00437545699727932,4.18906509256329,10.2697935512436
31,6378168,403.557994584761,288.103687043402,0.999999992888091,2.34856769022346,13.8614198595974,-0.00446439154086197,4.07171093174577,9.61618756698359
32,6378169,405.722060081915,302.077853372752,0.999999992888055,1.9247370263746,14.0456962545337,-0.00455484783678995,4.0379900457557,7.80263825264064
33,6378170,407.301878596966,316.108988989559,0.999999992888053,1.1845838713595,13.9720737193644,-0.0046432418342905,4.08232798895856,4.84583334886453
34,6378171,407.996812466263,329.931263422752,0.999999992888055,0.16157242880643,13.626647012546,-0.00472607132709266,4.19989584274507,0.679063253034898
35,6378172,407.545647001278,343.270962977484,0.999999992888053,-1.09925677116469,13.0076845999588,-0.00480005515252062,4.38334868258712,-4.83078862126842
36,6378173,405.737066924288,355.85895718866,0.999999992888055,-2.54355910991593,12.1261166516184,-0.00486226385399575,4.61675149250357,-11.8468810933412
37,6378174,402.417662976425,367.443356068479,0.999999992888057,-4.11033299250458,11.0054248702278,-0.00491023691755905,4.867209393867,-20.4801647312682
38,6378175,397.4971570601,377.801753515619,0.999999992888112,-5.73481324950268,9.68092607482777,-0.00494208075522416,5.07981124629376,-30.6421949804255
39,6378176,390.950668132082,386.752458799279,0.999999992888114,-7.35147278390475,8.19847072741084,-0.00495654442936498,5.18916665130492,-41.8826568363764
40,6378177,382.817981092106,394.164153664609,0.999999992888114,-8.89699156672885,6.61260626495107,-0.00495306955872285,5.15405874226864,-53.3792092776277
41,6378178,373.199920449328,399.963476034102,0.999999992888113,-10.3130559024784,4.98428178610261,-0.00493181295672966,4.9880017352011,-64.2060148847493
42,6378179,362.252063028329,404.140119847557,0.999999992888112,-11.5488611157154,3.37819402609257,-0.00489364040515228,4.74861703853775,-73.6954739181343
43,6378180,350.176143240227,406.749150389427,0.999999992888113,-12.5632068935892,1.85989346617042,-0.00484009250106729,4.49956954540767,-81.5792549480959
